real,imag
7.656854249492375253e-01,-5.656854249492390130e-01
7.949747468305836673e-01,-4.949747468305823461e-01
8.242640687119276999e-01,-4.242640687119304532e-01
8.535533905932737309e-01,-3.535533905932737864e-01
8.828427124746177634e-01,-2.828427124746218935e-01
9.121320343559637944e-01,-2.121320343559652266e-01
9.414213562373099364e-01,-1.414213562373085598e-01
9.707106781186538580e-01,-7.071067811865661135e-02
1.000000000000000000e+00,0.000000000000000000e+00
9.707106781186539690e-01,-7.071067811865666686e-02
9.414213562373099364e-01,-1.414213562373085320e-01
9.121320343559639054e-01,-2.121320343559651989e-01
8.828427124746178745e-01,-2.828427124746218935e-01
8.535533905932738419e-01,-3.535533905932737309e-01
8.242640687119278109e-01,-4.242640687119303977e-01
7.949747468305836673e-01,-4.949747468305822906e-01
7.656854249492377473e-01,-5.656854249492389020e-01
7.363961030678916053e-01,-6.363961030678956243e-01
7.071067811865475727e-01,-7.071067811865474617e-01
6.363961030678914055e-01,-7.363961030678932707e-01
5.656854249492351272e-01,-7.656854249492391906e-01
4.949747468305837339e-01,-7.949747468305830012e-01
4.242640687119275666e-01,-8.242640687119289211e-01
3.535533905932713439e-01,-8.535533905932747301e-01
2.828427124746199506e-01,-8.828427124746185406e-01
2.121320343559637833e-01,-9.121320343559644606e-01
1.414213562373075606e-01,-9.414213562373102695e-01
7.071067811865616726e-02,-9.707106781186540800e-01
0.000000000000000000e+00,-1.000000000000000000e+00
-7.071067811865187902e-02,-9.707106781186559674e-01
-1.414213562373085320e-01,-9.414213562373099364e-01
-2.121320343559651989e-01,-9.121320343559639054e-01
-2.828427124746170640e-01,-8.828427124746198729e-01
-3.535533905932737309e-01,-8.535533905932738419e-01
-4.242640687119303977e-01,-8.242640687119278109e-01
-4.949747468305822906e-01,-7.949747468305836673e-01
-5.656854249492389020e-01,-7.656854249492377473e-01
-6.363961030678956243e-01,-7.363961030678916053e-01
-7.071067811865474617e-01,-7.071067811865475727e-01
-7.363961030678932707e-01,-6.363961030678914055e-01
-7.656854249492391906e-01,-5.656854249492351272e-01
-7.949747468305830012e-01,-4.949747468305837339e-01
-8.242640687119289211e-01,-4.242640687119275666e-01
-8.535533905932727317e-01,-3.535533905932761733e-01
-8.828427124746185406e-01,-2.828427124746199506e-01
-9.121320343559644606e-01,-2.121320343559637833e-01
-9.414213562373082711e-01,-1.414213562373123345e-01
-9.707106781186540800e-01,-7.071067811865616726e-02
-1.000000000000000000e+00,0.000000000000000000e+00
-9.707106781186559674e-01,-7.071067811865187902e-02
-9.414213562373099364e-01,-1.414213562373085320e-01
-9.121320343559639054e-01,-2.121320343559651989e-01
-8.828427124746198729e-01,-2.828427124746170640e-01
-8.535533905932738419e-01,-3.535533905932737309e-01
-8.242640687119298093e-01,-4.242640687119256238e-01
-7.949747468305836673e-01,-4.949747468305822906e-01
-7.656854249492377473e-01,-5.656854249492389020e-01
-7.363961030678936037e-01,-6.363961030678908504e-01
